,filename,len_in_sec,sr,num_hops,OVRL_raw,SIG_raw,BAK_raw,OVRL,SIG,BAK,P808_MOS
77,.\test\VOICEACTRESS100_088.wav,5.9753125,16000,2,2.7829099,2.993185,3.7497709,2.6262422834112,2.906960400747581,3.785998292954662,2.9327865
78,.\test\VOICEACTRESS100_099.wav,4.63925,16000,1,3.1212509,3.4250944,3.8525221,2.8684851557853737,3.2016270223041383,3.8490404564831904,3.6696386
79,.\test\VOICEACTRESS100_082.wav,6.0253125,16000,3,2.7767124,2.9992101,3.850645,2.6216249409298853,2.911326021998484,3.847881006601756,3.5935373
80,.\test\VOICEACTRESS100_065.wav,7.9783125,16000,6,3.0606568,3.3448021,3.909363,2.825829724756277,3.1491488816801554,3.8798778575817465,3.477518
81,.\test\VOICEACTRESS100_063.wav,3.9079375,16000,6,3.2379482,3.4979947,4.0176735,2.9461423645965983,3.2461778964030423,3.937596334210696,3.843857
82,.\test\VOICEACTRESS100_070.wav,7.3795,16000,5,3.28958,3.5206323,4.1164894,2.982660202949959,3.261822071166619,3.9963607349531323,3.344886
83,.\test\VOICEACTRESS100_057.wav,4.364375,16000,8,3.462393,3.7434976,4.0802417,3.096732020646139,3.398477756423469,3.9767349002417895,3.6747487
84,.\test\VOICEACTRESS100_089.wav,6.411875,16000,3,3.157235,3.4283016,3.8960123,2.8927582825463234,3.2036283942118318,3.871529960113097,3.5731003
85,.\test\VOICEACTRESS100_098.wav,5.6685,16000,2,3.1214042,3.333612,4.0586042,2.8681457472061274,3.141256491736571,3.9659827181993617,3.6686664
86,.\test\VOICEACTRESS100_090.wav,6.0616875,16000,3,3.6426895,3.882291,4.2173133,3.211450386120216,3.4792037779361054,4.048306174166157,3.8701646
87,.\test\VOICEACTRESS100_086.wav,6.8158125,16000,4,3.5156562,3.703505,4.281036,3.1311802625440004,3.3747199244204955,4.079401534179562,3.7913413
